Date;GOOG.NASDAQ_AAPL - Close;GOOG.NASDAQ_GOOGL - Close;GOOG.NASDAQ_MSFT - Close;GOOG.NASDAQ_FB - Close;GOOG.NYSE_ORCL - Close
2012-02-02;65.02;292.85;29.95;;28.81
2012-02-03;65.67;298.46;30.24;;29.11
2012-02-06;66.28;304.85;30.2;;29.0
2012-02-07;66.98;303.69;30.35;;28.95
2012-02-08;68.1;305.23;30.66;;28.73
2012-02-09;70.45;306.04;30.77;;28.89
2012-02-10;70.49;303.26;30.5;;28.5
2012-02-13;71.8;306.41;30.58;;28.43
2012-02-14;72.78;305.18;30.25;;28.24
2012-02-15;71.1;303.08;30.05;;27.98
2012-02-16;71.74;303.56;31.28;;28.95
2012-02-17;71.73;302.62;31.25;;28.79
2012-02-21;73.55;307.31;31.44;;28.74
2012-02-22;73.29;304.27;31.27;;28.55
2012-02-23;73.77;303.36;31.37;;28.81
2012-02-24;74.63;305.25;31.48;;29.25
2012-02-27;75.11;304.96;31.35;;29.26
2012-02-28;76.49;309.5;31.87;;29.39
2012-02-29;77.49;309.43;31.74;;29.26
2012-03-01;77.78;311.51;32.29;;29.83
2012-03-02;77.88;310.94;32.08;;29.96
2012-03-05;76.17;307.43;31.8;;30.24
2012-03-06;75.75;302.78;31.56;;29.94
2012-03-07;75.81;303.7;31.84;;30.22
2012-03-08;77.43;303.87;32.01;;30.07
2012-03-09;77.88;300.43;31.99;;30.13
2012-03-12;78.86;302.88;32.04;;29.71
2012-03-13;81.16;309.2;32.67;;30.13
2012-03-14;84.23;308.3;32.77;;29.84
2012-03-15;83.65;310.88;32.85;;30.06
2012-03-16;83.65;312.83;32.6;;29.74
2012-03-19;85.87;317.31;32.2;;29.76
2012-03-20;86.57;317.06;31.99;;30.1
2012-03-21;86.07;320.31;31.91;;29.41
2012-03-22;85.62;323.35;32.0;;28.63
2012-03-23;85.15;321.62;32.01;;28.55
2012-03-26;86.71;324.99;32.59;;29.16
2012-03-27;87.78;323.83;32.52;;29.35
2012-03-28;88.23;328.21;32.19;;29.36
2012-03-29;87.12;324.53;32.12;;29.3
2012-03-30;85.65;320.94;32.26;;29.16
2012-04-02;88.38;323.78;32.29;;29.53
2012-04-03;89.9;321.63;31.94;;29.39
2012-04-04;89.19;317.89;31.21;;29.16
2012-04-05;90.53;316.48;31.52;;29.56
2012-04-09;90.89;315.74;31.1;;29.01
2012-04-10;89.78;313.74;30.47;;28.35
2012-04-11;89.46;318.3;30.34;;28.14
2012-04-12;88.97;325.83;30.98;;28.7
2012-04-13;86.46;312.61;30.81;;28.5
2012-04-16;82.88;303.34;31.08;;28.64
2012-04-17;87.1;305.09;31.44;;29.28
2012-04-18;86.91;304.03;31.14;;29.12
2012-04-19;83.92;299.95;31.01;;29.01
2012-04-20;81.85;298.33;32.42;;28.88
2012-04-23;81.67;299.1;32.12;;28.48
2012-04-24;80.04;300.94;31.92;;28.69
2012-04-25;87.14;305.16;32.2;;28.87
2012-04-26;86.81;308.04;32.11;;29.02
2012-04-27;86.14;307.8;31.98;;29.24
2012-04-30;83.43;302.73;32.02;;29.4
2012-05-01;83.16;302.52;32.01;;29.57
2012-05-02;83.71;303.93;31.8;;29.71
2012-05-03;83.12;305.82;31.76;;29.38
2012-05-04;80.75;298.78;30.98;;28.41
2012-05-07;81.35;304.08;30.65;;27.92
2012-05-08;81.17;306.7;30.5;;27.93
2012-05-09;81.31;304.88;30.76;;27.78
2012-05-10;81.5;307.14;30.74;;27.02
2012-05-11;80.96;302.92;31.16;;27.0
2012-05-14;79.75;302.3;30.68;;26.96
2012-05-15;79.02;305.86;30.21;;27.06
2012-05-16;78.01;314.78;29.9;;26.72
2012-05-17;75.73;311.84;29.72;38.0;26.25
2012-05-18;75.77;300.5;29.27;38.23;25.61
2012-05-21;80.18;307.36;29.75;34.03;26.26
2012-05-22;79.57;300.7;29.76;31.0;26.36
2012-05-23;81.51;305.03;29.11;32.0;26.68
2012-05-24;80.76;302.13;29.07;33.03;26.12
2012-05-25;80.33;296.06;29.06;31.91;26.14
2012-05-29;81.75;297.47;29.56;28.84;26.46
2012-05-30;82.74;294.41;29.34;28.19;26.17
2012-05-31;82.53;290.72;29.19;29.6;26.47
2012-06-01;80.14;285.78;28.45;27.72;26.0
2012-06-04;80.61;289.58;28.55;26.9;26.2
2012-06-05;80.4;285.49;28.5;25.87;26.7
2012-06-06;81.64;290.58;29.35;26.81;27.53
2012-06-07;81.67;289.4;29.23;26.31;27.18
2012-06-08;82.9;290.52;29.65;27.1;27.16
2012-06-11;81.6;284.53;28.9;27.0;26.81
2012-06-12;82.31;282.83;29.29;27.4;27.03
2012-06-13;81.74;280.83;29.13;27.27;27.02
2012-06-14;81.65;279.8;29.34;28.29;26.91
2012-06-15;82.02;282.54;30.02;30.01;27.7
2012-06-18;83.68;285.71;29.84;31.41;27.12
2012-06-19;83.92;291.06;30.7;31.91;27.96
2012-06-20;83.68;289.04;30.93;31.6;28.49
2012-06-21;82.52;282.89;30.14;31.84;27.81
2012-06-22;83.16;286.03;30.7;33.05;28.0
2012-06-25;81.54;280.63;29.86;32.06;27.62
2012-06-26;81.72;282.62;30.02;33.1;27.83
2012-06-27;82.07;284.94;30.17;32.23;28.17
2012-06-28;81.29;282.44;29.91;31.36;28.17
2012-06-29;83.43;290.33;30.59;31.1;29.7
2012-07-02;84.65;290.53;30.56;30.77;29.8
2012-07-03;85.63;294.21;30.76;31.2;29.97
2012-07-05;87.13;298.26;30.7;31.47;29.72
2012-07-06;86.55;293.28;30.18;31.73;29.18
2012-07-09;87.7;293.3;30.0;32.17;29.1
2012-07-10;86.89;291.14;29.74;31.47;29.05
2012-07-11;86.35;285.88;29.3;30.97;29.23
2012-07-12;85.56;285.53;28.63;30.81;28.82
2012-07-13;86.42;288.55;29.39;30.72;29.58
2012-07-16;86.7;287.75;29.44;28.24;29.52
2012-07-17;86.71;288.65;29.66;28.09;29.92
2012-07-18;86.61;290.67;30.45;29.11;30.5
2012-07-19;87.76;296.83;30.66;29.0;30.86
2012-07-20;86.33;305.72;30.12;28.76;30.12
2012-07-23;86.26;308.06;29.28;28.75;29.65
2012-07-24;85.85;304.09;29.15;28.45;29.32
2012-07-25;82.14;304.3;28.83;29.34;29.26
2012-07-26;82.13;306.99;29.16;26.84;30.0
2012-07-27;83.59;317.8;29.76;23.7;30.77
2012-07-30;85.0;316.47;29.64;23.15;30.58
2012-07-31;87.25;316.8;29.47;21.71;30.2
2012-08-01;86.69;316.66;29.41;20.88;30.32
2012-08-02;86.83;314.69;29.19;20.04;29.92
2012-08-03;87.96;320.99;29.75;21.09;30.72
2012-08-06;88.94;321.73;29.95;21.92;31.0
2012-08-07;88.7;320.59;30.26;20.72;31.5
